Year ;From;To;Distance (Kilometers)
2013;Abqiq;Sakaka;1288.0
2013;Abqiq;Taif;1114.0
2013;Abqiq;Khobar;63.0
2013;Abqiq;Qurayat;1382.0
2013;Abha;Arar;2079.0
2013;Abha;Dammam;1432.0
2013;Abha;Turaif;2239.0
2013;Abha;Kharj;938.0
2013;Baha;Hail;1323.0
2013;Baha;Madinah;712.0
2013;Baha;Baha;0.0
2013;Baha;Qurayat;1788.0
2013;Khobar;Dammam;24.0
2013;Khobar;Madinah;1271.0
2013;Khobar;Qurayat;1469.0
2013;Kharj;Sakaka;1103.0
2013;Kharj;Madinah;933.0
2013;Kharj;Hufr Al-Baten;561.0
2013;Kharj;Tabuk;1336.0
2013;Dammam;Majma'ah;596.0
2013;Dammam;Madinah;1271.0
2013;Dammam;Jeddah;1374.0
2013;Riyadh;Jazan;1245.0
2013;Riyadh;Majma'ah;180.0
2013;Riyadh;Sakaka;1025.0
2013;Riyadh;Madinah;855.0
2013;Riyadh;Hufr Al-Baten;483.0
2013;Riyadh;Abqiq;332.0
2013;Riyadh;Jeddah;958.0
2013;Taif;Hail;1120.0
2013;Qurayat;Riyadh;1245.0
2013;Qurayat;Abha;2083.0
2013;Qurayat;Madinah;1076.0
2013;Qurayat;Taif;1585.0
2013;Qurayat;Najran;2340.0
2013;Qurayat;Khobar;1479.0
2013;Qurayat;Buraidah;883.0
2013;Qurayat;Jeddah;1497.0
2013;Majma'ah;Arar;878.0
2013;Majma'ah;Abha;1201.0
2013;Majma'ah;Turaif;1120.0
2013;Majma'ah;Hufr Al-Baten;303.0
2013;Majma'ah;Baha;1165.0
2013;Majma'ah;Tabuk;1078.0
2013;Madinah;Abha;1007.0
2013;Madinah;Turaif;1224.0
2013;Madinah;Baha;712.0
2013;Madinah;Jeddah;421.0
2013;Madinah;Qurayat;1076.0
2013;Hofuf;Riyadh;406.0
2013;Hofuf;Sakaka;1431.0
2013;Hofuf;Khobar;124.0
2013;Hofuf;Jeddah;1364.0
2013;Hofuf;Tabuk;1664.0
2013;Hofuf;Hofuf;0.0
2013;Buraidah;Hail;265.0
2013;Buraidah;Majma'ah;182.0
2013;Buraidah;Makkah;926.0
2013;Buraidah;Najran;1757.0
2013;Buraidah;Baha;1205.0
2013;Buraidah;Qurayat;883.0
2013;Tabuk;Arar;625.0
2013;Tabuk;Dammam;1674.0
2013;Tabuk;Jazan;1827.0
2013;Tabuk;Abha;1679.0
2013;Tabuk;Turaif;777.0
2013;Tabuk;Kharj;1336.0
2013;Jeddah;Riyadh;958.0
2013;Jeddah;Majma'ah;1138.0
2013;Jeddah;Makkah;100.0
2013;Jeddah;Khobar;1374.0
2013;Jeddah;Tabuk;1093.0
2013;Jazan;Riyadh;1245.0
2013;Jazan;Dammam;1661.0
2013;Jazan;Abqiq;1604.0
2013;Jazan;Jeddah;734.0
2013;Jazan;Tabuk;1827.0
2013;Jazan;Hofuf;1651.0
2013;Hail;Hail;0.0
2013;Hail;Jazan;1766.0
2013;Hail;Madinah;611.0
2013;Hail;Turaif;970.0
2013;Hail;Najran;1875.0
2013;Hufr Al-Baten;Arar;951.0
2013;Hufr Al-Baten;Abha;1259.0
2013;Sakaka;Dammam;1201.0
2013;Sakaka;Madinah;918.0
2013;Sakaka;Turaif;396.0
2013;Sakaka;Tabuk;471.0
2013;Turaif;Arar;242.0
2013;Turaif;Hail;970.0
2013;Turaif;Dammam;1289.0
2013;Turaif;Sakaka;396.0
2013;Turaif;Makkah;1665.0
2013;Turaif;Turaif;0.0
2013;Turaif;Hufr Al-Baten;1193.0
2013;Turaif;Khobar;1313.0
2013;Turaif;Buraidah;1039.0
2013;Arar;Hail;728.0
2013;Arar;Majma'ah;878.0
2013;Arar;Sakaka;154.0
2013;Arar;Turaif;242.0
2013;Arar;Hufr Al-Baten;951.0
2013;Arar;Hofuf;1159.0
2013;Makkah;Tabuk;1105.0
2013;Najran;Hail;1875.0
2013;Najran;Abqiq;1282.0
2013;Najran;Buraidah;1757.0
2013;Najran;Qurayat;2340.0
2013;Abqiq;Arar;1470.0
2013;Abqiq;Dammam;87.0
2013;Abqiq;Turaif;1352.0
2013;Abqiq;Najran;1282.0
2013;Abqiq;Baha;1230.0
2013;Abqiq;Buraidah;662.0
2013;Abqiq;Hofuf;63.0
2013;Abha;Riyadh;1016.0
2013;Abha;Hail;1618.0
2013;Abha;Jazan;229.0
2013;Abha;Sakaka;925.0
2013;Abha;Hufr Al-Baten;1259.0
2013;Abha;Khobar;1316.0
2013;Abha;Tabuk;1679.0
2013;Baha;Jazan;524.0
2013;Baha;Abqiq;1230.0
2013;Baha;Tabuk;1384.0
2013;Baha;Hofuf;1391.0
2013;Khobar;Buraidah;778.0
2013;Kharj;Arar;1136.0
2013;Kharj;Riyadh;78.0
2013;Kharj;Jazan;1323.0
2013;Kharj;Makkah;936.0
2013;Kharj;Turaif;1378.0
2013;Kharj;Baha;1072.0
2013;Kharj;Buraidah;440.0
2013;Kharj;Jeddah;1036.0
2013;Dammam;Jazan;1661.0
2013;Dammam;Makkah;1274.0
2013;Dammam;Najran;1689.0
